dataset_name,size_on_rses_gb,rses,on_tape
/MuOnia/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,6510.537358706,"T2_BR_SPRACE,T1_US_FNAL_Disk,T1_FR_CCIN2P3_Tape",True
/ParkingBPH2/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,326323.408676682,"T2_HU_Budapest,T1_RU_JINR_Disk,T2_FR_GRIF_LLR,T0_CH_CERN_Tape,T2_PL_Swierk,T2_DE_DESY,T2_FR_GRIF_IRFU,T2_US_UCSD,T2_IT_Bari,T2_US_MIT,T2_US_Caltech,T2_BE_IIHE,T2_ES_CIEMAT,T2_IT_Pisa,T2_TW_NCHC,T2_FI_HIP,T2_UK_SGrid_RALPP,T2_BE_UCL,T1_IT_CNAF_Disk,T2_RU_JINR,T2_IT_Rome,T2_TR_METU,T2_US_Purdue,T2_DE_RWTH,T2_IT_Legnaro,T2_CH_CSCS,T2_BR_SPRACE,T2_US_Vanderbilt,T1_UK_RAL_Disk,T2_US_Wisconsin,T2_BR_UERJ,T2_US_Florida,T2_KR_KISTI,T2_CN_Beijing,T1_US_FNAL_Disk,T2_UK_London_IC,T2_PT_NCG_Lisbon,T2_FR_IPHC,T2_US_Nebraska,T2_ES_IFCA",True
/Tau/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,14932.695332109,"T1_ES_PIC_Disk,T1_DE_KIT_Disk,T2_DE_DESY,T2_US_UCSD,T2_IT_Bari,T2_US_Caltech,T2_US_MIT,T2_CH_CERN,T2_ES_CIEMAT,T2_BE_IIHE,T2_TW_NCHC,T2_UK_SGrid_RALPP,T2_BE_UCL,T2_US_Purdue,T2_IT_Legnaro,T2_UK_SGrid_Bristol,T2_BR_SPRACE,T2_US_Vanderbilt,T2_RU_INR,T1_FR_CCIN2P3_Disk,T1_UK_RAL_Disk,T2_US_Wisconsin,T2_BR_UERJ,T2_US_Florida,T2_KR_KISTI,T2_CN_Beijing,T1_US_FNAL_Disk,T2_UK_London_Brunel,T2_US_Nebraska",False
/ParkingBPH5/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,272330.834867216,"T2_HU_Budapest,T1_RU_JINR_Disk,T2_FR_GRIF_LLR,T0_CH_CERN_Tape,T2_DE_DESY,T2_FR_GRIF_IRFU,T2_US_UCSD,T2_US_Caltech,T2_US_MIT,T2_BE_IIHE,T2_ES_CIEMAT,T2_IT_Pisa,T2_RU_IHEP,T2_UK_SGrid_RALPP,T2_BE_UCL,T1_IT_CNAF_Disk,T2_RU_JINR,T2_IT_Rome,T2_TR_METU,T2_US_Purdue,T2_DE_RWTH,T2_IT_Legnaro,T2_RU_INR,T2_IN_TIFR,T1_UK_RAL_Disk,T2_US_Wisconsin,T2_US_Florida,T2_KR_KISTI,T2_CN_Beijing,T1_US_FNAL_Disk,T2_UK_London_IC,T2_PT_NCG_Lisbon,T2_FR_IPHC,T2_US_Nebraska,T2_ES_IFCA",True
/SingleMuon/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,52146.91057329,"T2_DE_DESY,T2_US_Florida,T2_US_MIT,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T1_FR_CCIN2P3_Tape,T2_US_Wisconsin",True
/MET/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,18303.280536156,"T2_US_UCSD,T1_US_FNAL_Tape,T2_US_MIT,T2_US_Caltech,T2_BR_SPRACE,T2_TW_NCHC,T2_US_Vanderbilt,T2_US_Wisconsin,T2_RU_IHEP,T2_US_Florida,T2_KR_KISTI,T2_RU_JINR,T2_TR_METU,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska",True
/ZeroBias/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,12349.695938633,"T2_RU_IHEP,T2_US_UCSD,T2_US_Florida,T2_US_Caltech,T2_US_MIT,T1_DE_KIT_Tape,T2_BR_SPRACE,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_UA_KIPT,T2_US_Wisconsin",True
/BTagMu/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,16129.755809454,"T1_DE_KIT_Tape,T2_US_Vanderbilt,T1_US_FNAL_Disk",True
/Charmonium/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,15073.088070185,"T0_CH_CERN_Tape,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T2_BR_SPRACE,T2_US_Vanderbilt,T2_IN_TIFR,T2_US_Wisconsin,T2_BR_UERJ,T2_US_Florida,T2_KR_KISTI,T2_RU_JINR,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska",True
/ParkingBPH3/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,267747.12026849,"T2_ES_IFCA,T1_RU_JINR_Disk,T0_CH_CERN_Tape,T2_US_UCSD,T2_IT_Bari,T2_US_MIT,T2_US_Caltech,T2_BE_IIHE,T2_ES_CIEMAT,T2_TW_NCHC,T2_UK_SGrid_RALPP,T1_IT_CNAF_Disk,T2_RU_JINR,T2_IT_Rome,T2_TR_METU,T2_US_Purdue,T2_DE_RWTH,T2_IT_Legnaro,T2_CH_CSCS,T2_BR_SPRACE,T2_US_Vanderbilt,T2_IN_TIFR,T2_US_Wisconsin,T2_US_Florida,T2_KR_KISTI,T2_CN_Beijing,T1_US_FNAL_Disk,T2_PT_NCG_Lisbon,T2_FR_IPHC,T2_US_Nebraska,T2_HU_Budapest",True
/DoubleMuonLowMass/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,6635.337931266,"T0_CH_CERN_Tape,T2_US_Florida,T2_US_MIT,T2_US_Caltech,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Wisconsin",True
/DisplacedJet/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,1240.168734223,"T0_CH_CERN_Tape,T2_US_UCSD,T2_US_Florida,T2_US_MIT,T2_US_Caltech,T2_KR_KISTI,T2_RU_JINR,T2_BR_SPRACE,T2_US_Vanderbilt,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_US_Wisconsin",True
/EGamma/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,63144.183354541,"T0_CH_CERN_Tape,T2_FR_GRIF_IRFU,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T2_BR_SPRACE,T2_TW_NCHC,T2_US_Vanderbilt,T2_IN_TIFR,T2_UA_KIPT,T2_US_Wisconsin,T2_KR_KISTI,T2_RU_JINR,T2_TR_METU,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska,T2_HU_Budapest",True
/DoubleMuon/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,31247.705931706,"T1_RU_JINR_Disk,T0_CH_CERN_Tape,T2_DE_DESY,T2_US_UCSD,T2_IT_Bari,T2_US_MIT,T2_BE_IIHE,T2_US_Vanderbilt,T2_IN_TIFR,T2_UA_KIPT,T2_RU_JINR,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska",True
/MuonEG/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,4656.321388577,"T1_RU_JINR_Disk,T2_FR_GRIF_LLR,T1_ES_PIC_Disk,T1_DE_KIT_Disk,T2_DE_DESY,T2_IT_Legnaro,T2_FR_GRIF_IRFU,T2_US_UCSD,T2_US_Caltech,T2_US_MIT,T2_EE_Estonia,T2_BE_IIHE,T2_BR_SPRACE,T2_US_Vanderbilt,T1_FR_CCIN2P3_Disk,T2_IN_TIFR,T2_US_Wisconsin,T2_BR_UERJ,T2_US_Florida,T2_KR_KISTI,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska",False
/JetHT/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,23983.080987558,"T2_DE_RWTH,T1_RU_JINR_Disk,T1_DE_KIT_Disk,T2_DE_DESY,T2_CH_CSCS,T2_IT_Bari,T2_US_MIT,T2_US_Caltech,T2_ES_CIEMAT,T2_US_Vanderbilt,T1_FR_CCIN2P3_Disk,T2_IN_TIFR,T2_UA_KIPT,T2_US_Wisconsin,T2_US_Florida,T1_DE_KIT_Tape,T2_IT_Rome,T1_US_FNAL_Disk,T2_US_Purdue,T2_US_Nebraska",True
/ParkingBPH4/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,342521.34204129,"T2_ES_IFCA,T1_RU_JINR_Disk,T2_FR_GRIF_LLR,T0_CH_CERN_Tape,T2_DE_DESY,T2_FR_GRIF_IRFU,T2_US_UCSD,T2_US_MIT,T2_US_Caltech,T2_BE_IIHE,T2_ES_CIEMAT,T2_IT_Pisa,T2_RU_IHEP,T2_UK_SGrid_RALPP,T2_BE_UCL,T1_IT_CNAF_Disk,T2_RU_JINR,T2_IT_Rome,T2_TR_METU,T2_US_Purdue,T2_DE_RWTH,T2_IT_Legnaro,T2_CH_CSCS,T2_BR_SPRACE,T2_US_Vanderbilt,T1_UK_RAL_Disk,T2_US_Wisconsin,T2_US_Florida,T2_KR_KISTI,T2_CN_Beijing,T1_US_FNAL_Disk,T2_PT_NCG_Lisbon,T2_UK_London_IC,T2_FR_IPHC,T2_US_Nebraska,T2_HU_Budapest",True
/ParkingBPH1/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,288045.602399125,"T2_HU_Budapest,T1_RU_JINR_Disk,T2_FR_GRIF_LLR,T0_CH_CERN_Tape,T2_PL_Swierk,T2_FR_GRIF_IRFU,T2_US_UCSD,T2_IT_Bari,T2_US_MIT,T2_US_Caltech,T2_ES_CIEMAT,T2_TW_NCHC,T2_FI_HIP,T2_UA_KIPT,T2_RU_IHEP,T2_UK_SGrid_RALPP,T2_BE_UCL,T1_IT_CNAF_Disk,T2_RU_JINR,T2_IT_Rome,T2_TR_METU,T2_US_Purdue,T2_IT_Legnaro,T2_CH_CSCS,T2_BR_SPRACE,T2_US_Vanderbilt,T2_IN_TIFR,T2_US_Wisconsin,T2_US_Florida,T2_KR_KISTI,T2_CN_Beijing,T1_US_FNAL_Disk,T2_FR_IPHC,T2_US_Nebraska,T2_ES_IFCA",True
/MinimumBias/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,914.581597733,"T2_US_MIT,T2_US_Caltech,T2_US_Vanderbilt,T1_US_FNAL_Disk,T1_FR_CCIN2P3_Tape,T2_UA_KIPT,T2_US_Nebraska,T2_US_Wisconsin",True
